Country,Year,population
Qatar,1830,14092
Reunion,1830,100142
Romania,1830,6893384
Russia,1830,34134430
Rwanda,1830,988207
St. Barthélemy,1830,NA
St. Helena,1830,2859
St. Kitts and Nevis,1830,18575
St. Lucia,1830,24e3
St. Martin,1830,NA
St. Vincent and the Grenadines,1830,27085
St.-Pierre-et-Miquelon,1830,1918
Samoa,1830,47059
San Marino,1830,5865
Sao Tome and Principe,1830,24518
Saudi Arabia,1830,2138414
Senegal,1830,1080873
Serbia,1830,2347810
Serbia and Montenegro,1830,NA
Serbia excluding Kosovo,1830,NA
Seychelles,1830,12965
Sierra Leone,1830,849920
Singapore,1830,37232
Slovak Republic,1830,2220574
Slovenia,1830,513559
Solomon Islands,1830,59648
Somalia,1830,1065648
Somaliland,1830,NA
South Africa,1830,1714970
South Ossetia,1830,NA
Spain,1830,13051762
Sri Lanka,1830,1494084
Sudan,1830,4289105
Suriname,1830,87130
Svalbard,1830,NA
Swaziland,1830,86e3
Sweden,1830,2855774
Switzerland,1830,2101048
Syria,1830,1383046
Taiwan,1830,NA
Tajikistan,1830,512083
Tanzania,1830,3129057
Thailand,1830,4847494
Timor-Leste,1830,153614
Togo,1830,487574
Tokelau,1830,1003
Tonga,1830,18548
Transnistria,1830,NA
Trinidad and Tobago,1830,66150
Tunisia,1830,928894
Turkey,1830,10398375
Turkmenistan,1830,403139
Turks and Caicos Islands,1830,3537
Tuvalu,1830,2644
Uganda,1830,2172807
Ukraine,1830,12320877
United Arab Emirates,1830,40153
United Kingdom,1830,18533999
United States,1830,13480460
Uruguay,1830,74793
USSR,1830,NA
Uzbekistan,1830,2106508
Wallis et Futuna,1830,3908
Vanuatu,1830,28979
Venezuela,1830,887197
West Bank and Gaza,1830,165944
West Germany,1830,NA
Western Sahara,1830,3161
Vietnam,1830,7214925
Virgin Islands (U.S.),1830,4e4
North Yemen (former),1830,NA
South Yemen (former),1830,NA
Yemen,1830,2640779
Yugoslavia,1830,NA
Zambia,1830,747e3
