artist,title,Artist,n,URI,spotifyID
Free+Energy,Free+Energy,Free Energy,396,https://api.spotify.com/v1/search?q=%2520track%3AFree+Energy%2520artist%3AFree+Energy%2520&type=track,4960lzMaVLrbelhngBpL4X
Grizzly+Bear,While+You+Wait+For+The+Others,Grizzly Bear,396,https://api.spotify.com/v1/search?q=%2520track%3AWhile+You+Wait+For+The+Others%2520artist%3AGrizzly+Bear%2520&type=track,4lyhYM26W4DdIArcfVTUBh
Sharon+Jones+And+The+Dap+Kings,I+Learned+The+Hard+Way,Sharon Jones And The Dap-Kings,396,https://api.spotify.com/v1/search?q=%2520track%3AI+Learned+The+Hard+Way%2520artist%3ASharon+Jones+And+The+Dap+Kings%2520&type=track,6EfzMRn24usWjFgykZWLl2
First+Aid+Kit,Emmylou,First Aid Kit,395,https://api.spotify.com/v1/search?q=%2520track%3AEmmylou%2520artist%3AFirst+Aid+Kit%2520&type=track,2bU3gg0M8GGBs7ItBKsJX9
Glass+Animals,Gooey,Glass Animals,395,https://api.spotify.com/v1/search?q=%2520track%3AGooey%2520artist%3AGlass+Animals%2520&type=track,1gk3FhAV07q9Jg77UxnVjX
Gorillaz,On+Melancholy+Hill,Gorillaz,395,https://api.spotify.com/v1/search?q=%2520track%3AOn+Melancholy+Hill%2520artist%3AGorillaz%2520&type=track,0q6LuUqGLUiCPP1cbdwFs3
LCD+Soundsystem,I+Can+Change,LCD Soundsystem,395,https://api.spotify.com/v1/search?q=%2520track%3AI+Can+Change%2520artist%3ALCD+Soundsystem%2520&type=track,2073QOEC8rBtSyTsRyaWiP
Temples,Shelter+Song,Temples,395,https://api.spotify.com/v1/search?q=%2520track%3AShelter+Song%2520artist%3ATemples%2520&type=track,2nDkHJPY0vpydGiiDABaS6
The+Joy+Formidable,Whirring,The Joy Formidable,395,https://api.spotify.com/v1/search?q=%2520track%3AWhirring%2520artist%3AThe+Joy+Formidable%2520&type=track,2XbqxKjCnE9YWfPRqwgtPq
Metric,Synthetica,Metric,394,https://api.spotify.com/v1/search?q=%2520track%3ASynthetica%2520artist%3AMetric%2520&type=track,4SJTFnmmfxotIdw2psMeDp
Mayer+Hawthorne,No+Strings,Mayer Hawthorne,393,https://api.spotify.com/v1/search?q=%2520track%3ANo+Strings%2520artist%3AMayer+Hawthorne%2520&type=track,5FETewVsIOqOe5nELZqXMk
Yeah+Yeah+Yeahs,Sacrilege,Yeah Yeah Yeahs,393,https://api.spotify.com/v1/search?q=%2520track%3ASacrilege%2520artist%3AYeah+Yeah+Yeahs%2520&type=track,0wIdpFIZqaKyscPAMSQ9wq
Janelle+Monae,Tightrope+feat++Big+Boi,Janelle Monae,392,https://api.spotify.com/v1/search?q=%2520track%3ATightrope+feat++Big+Boi%2520artist%3AJanelle+Monae%2520&type=track,1ljzHUgt2SU2ADkhfa9eBC
Arctic+Monkeys,Why+d+You+Only+Call+Me+When+You+re+High+,Arctic Monkeys,390,https://api.spotify.com/v1/search?q=%2520track%3AWhy+d+You+Only+Call+Me+When+You+re+High+%2520artist%3AArctic+Monkeys%2520&type=track,086myS9r57YsLbJpU0TgK9
Matt+And+Kim,Let+s+Go,Matt And Kim,390,https://api.spotify.com/v1/search?q=%2520track%3ALet+s+Go%2520artist%3AMatt+And+Kim%2520&type=track,2PlP2rRrgSz8lC7MpH3e4e
Alt+J,Left+Hand+Free,Alt-J,389,https://api.spotify.com/v1/search?q=%2520track%3ALeft+Hand+Free%2520artist%3AAlt+J%2520&type=track,4iEOVEULZRvmzYSZY2ViKN
Lucius,Born+Again+Teen,Lucius,389,https://api.spotify.com/v1/search?q=%2520track%3ABorn+Again+Teen%2520artist%3ALucius%2520&type=track,69JKqF0ltYfXBXmsVyJx5y
Mayer+Hawthorne,The+Walk,Mayer Hawthorne,389,https://api.spotify.com/v1/search?q=%2520track%3AThe+Walk%2520artist%3AMayer+Hawthorne%2520&type=track,6Tdkn9doJ1eiWLH2njMN5X
The+Avett+Brothers,Live+And+Die,The Avett Brothers,389,https://api.spotify.com/v1/search?q=%2520track%3ALive+And+Die%2520artist%3AThe+Avett+Brothers%2520&type=track,19n9s9SfnLtwPEODqk8KCT
Dessa,The+Chaconne,Dessa,388,https://api.spotify.com/v1/search?q=%2520track%3AThe+Chaconne%2520artist%3ADessa%2520&type=track,3TvPMuD1WczpTHBppKzKoM
Edward+Sharpe+And+The+Magnetic+Zeros,Man+On+Fire,Edward Sharpe And The Magnetic Zeros,388,https://api.spotify.com/v1/search?q=%2520track%3AMan+On+Fire%2520artist%3AEdward+Sharpe+And+The+Magnetic+Zeros%2520&type=track,6qSViwr8Z1ERkL2ZVun3VY
Tame+Impala,Feels+Like+We+Only+Go+Backwards,Tame Impala,388,https://api.spotify.com/v1/search?q=%2520track%3AFeels+Like+We+Only+Go+Backwards%2520artist%3ATame+Impala%2520&type=track,0LtOwyZoSNZKJWHqjzADpW
Bon+Iver,Calgary,Bon Iver,387,https://api.spotify.com/v1/search?q=%2520track%3ACalgary%2520artist%3ABon+Iver%2520&type=track,7rIhp6EWLNtM8qFIQruJPT
The+National,Don+t+Swallow+The+Cap,The National,385,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Swallow+The+Cap%2520artist%3AThe+National%2520&type=track,7u0MkTec8GzbN9eUsusPAL
