artist,title,Artist,n,URI,spotifyID,tempo
Bad+Bad+Hats,Wide+Right,Bad Bad Hats,194,https://api.spotify.com/v1/audio-features/2IeGG6Hg38jY2JQ97UhHed,2IeGG6Hg38jY2JQ97UhHed,150.015
Cherry+Glazerr,Wasted+Nun,Cherry Glazerr,194,https://api.spotify.com/v1/audio-features/7KAmEQvwxX3INewsh7LkjM,7KAmEQvwxX3INewsh7LkjM,122.022
Maggie+Rogers,Burning,Maggie Rogers,194,https://api.spotify.com/v1/audio-features/42TtHTxWk782ZBiqyOi2d1,42TtHTxWk782ZBiqyOi2d1,122.811
Gary+Clark+Jr+,This+Land,Gary Clark Jr.,193,https://api.spotify.com/v1/audio-features/0Jxl1PdSbiQPYRPVdzBdES,0Jxl1PdSbiQPYRPVdzBdES,82.033
Lizzo,Cuz+I+Love+You,Lizzo,193,https://api.spotify.com/v1/audio-features/6YdQgWSpsxhVeX6Xmv3IFJ,6YdQgWSpsxhVeX6Xmv3IFJ,162.159
Sturgill+Simpson,Sing+Along,Sturgill Simpson,192,https://api.spotify.com/v1/audio-features/0JwtuqKYYCA1iJ5cubotGW,0JwtuqKYYCA1iJ5cubotGW,124.026
Fontaines+D+C+,Boys+In+The+Better+Land,Fontaines D.C.,191,https://api.spotify.com/v1/audio-features/0iJX82OGewFWpyRtB8zzo4,0iJX82OGewFWpyRtB8zzo4,176.977
Mavis+Staples,Change,Mavis Staples,191,https://api.spotify.com/v1/audio-features/6w23sxZepVSmRiTLDsP5ou,6w23sxZepVSmRiTLDsP5ou,110.666
The+Hold+Steady,Denver+Haircut,The Hold Steady,191,https://api.spotify.com/v1/audio-features/13pA5RjC7TIxAABdepqSg8,13pA5RjC7TIxAABdepqSg8,152.455
The+National,Rylan,The National,191,https://api.spotify.com/v1/audio-features/6INztpNwOTlfSKTuPo0HOP,6INztpNwOTlfSKTuPo0HOP,156.008
Brittany+Howard,History+Repeats,Brittany Howard,190,https://api.spotify.com/v1/audio-features/6F3fHk4oven8LnAOgKRPzz,6F3fHk4oven8LnAOgKRPzz,98.009
Brittany+Howard,Stay+High,Brittany Howard,189,https://api.spotify.com/v1/audio-features/0LeA15NV8v9W1HrZvD3rqS,0LeA15NV8v9W1HrZvD3rqS,118.785
Seratones,Gotta+Get+To+Know+Ya,Seratones,189,https://api.spotify.com/v1/audio-features/1yMcvgZJ4RERujKSTRMt5U,1yMcvgZJ4RERujKSTRMt5U,107.1
Tank+And+The+Bangas,Ants,Tank And The Bangas,189,https://api.spotify.com/v1/audio-features/0r71bOApGbwrGrl2Tn0AWw,0r71bOApGbwrGrl2Tn0AWw,170.91
Soccer+Mommy,lucy,Soccer Mommy,188,https://api.spotify.com/v1/audio-features/2drtd6SptpMJ1KylMQ7mrE,2drtd6SptpMJ1KylMQ7mrE,169.064
Tegan+And+Sara,I+ll+Be+Back+Someday,Tegan And Sara,188,https://api.spotify.com/v1/audio-features/67Qr9WN6TXQh3tF2QAFRIi,67Qr9WN6TXQh3tF2QAFRIi,134.932
Son+Volt,Devil+May+Care,Son Volt,187,https://api.spotify.com/v1/audio-features/3iYltDrRsIqAVtQAhXwy89,3iYltDrRsIqAVtQAhXwy89,126.115
Rosalia,MALAMENTE++Cap+1+Augurio+,Rosalia,186,https://api.spotify.com/v1/audio-features/1B0BQaSRHxhI0AUlItY3LK,1B0BQaSRHxhI0AUlItY3LK,97.975
Angel+Olsen,All+Mirrors,Angel Olsen,185,https://api.spotify.com/v1/audio-features/3HjyXmT0PyqVFGHR97VnKu,3HjyXmT0PyqVFGHR97VnKu,150.115
Clairo,Bags,Clairo,185,https://api.spotify.com/v1/audio-features/5mIOsPuQdXchVY0jB5NO9Q,5mIOsPuQdXchVY0jB5NO9Q,102.331
Sharon+Van+Etten,Jupiter+4,Sharon Van Etten,185,https://api.spotify.com/v1/audio-features/74n118P9h9Sz2AwDSc3f8N,74n118P9h9Sz2AwDSc3f8N,177.742
The+New+Pornographers,Falling+Down+The+Stairs+Of+Your+Smile,The New Pornographers,185,https://api.spotify.com/v1/audio-features/4UI61nJPFufxBYSuMnMaxA,4UI61nJPFufxBYSuMnMaxA,116.986
The+Raconteurs,Now+That+You+re+Gone,The Raconteurs,185,https://api.spotify.com/v1/audio-features/0JwlVxE6RtIGSAcAwBlJKk,0JwlVxE6RtIGSAcAwBlJKk,199.871
