artist,title,Artist,n,URI,spotifyID
Arcade+Fire,Rebellion++Lies+,Arcade Fire,11,https://api.spotify.com/v1/search?q=%2520track%3ARebellion++Lies+%2520artist%3AArcade+Fire%2520&type=track,0xOeB16JDbBJBJKSdHbElT
Arcade+Fire,Signs+Of+Life,Arcade Fire,21,https://api.spotify.com/v1/search?q=%2520track%3ASigns+Of+Life%2520artist%3AArcade+Fire%2520&type=track,1g1RmSl6D0I6m6MEtDvxYn
Arcade+Fire,The+Suburbs,Arcade Fire,13,https://api.spotify.com/v1/search?q=%2520track%3AThe+Suburbs%2520artist%3AArcade+Fire%2520&type=track,5iItYl3Q6wCnKVfpK1uNVf
Arcade+Fire,Wake+Up,Arcade Fire,17,https://api.spotify.com/v1/search?q=%2520track%3AWake+Up%2520artist%3AArcade+Fire%2520&type=track,6Hmj7SrLRbreLVfVS7mV1S
Arctic+Monkeys,Do+I+Wanna+Know+,Arctic Monkeys,13,https://api.spotify.com/v1/search?q=%2520track%3ADo+I+Wanna+Know+%2520artist%3AArctic+Monkeys%2520&type=track,3I7krC8kr0gFR7P6vInR1I
Arctic+Monkeys,Don+t+Sit+Down++Cause+I+ve+Moved+Your+Chair,Arctic Monkeys,11,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Sit+Down++Cause+I+ve+Moved+Your+Chair%2520artist%3AArctic+Monkeys%2520&type=track,1peQof7MvOPkX8ZRWEWKjp
Arctic+Monkeys,Fluorescent+Adolescent,Arctic Monkeys,14,https://api.spotify.com/v1/search?q=%2520track%3AFluorescent+Adolescent%2520artist%3AArctic+Monkeys%2520&type=track,5XxJ0xarKD3cbdcQfa2dPo
Arctic+Monkeys,Four+Out+Of+Five,Arctic Monkeys,63,https://api.spotify.com/v1/search?q=%2520track%3AFour+Out+Of+Five%2520artist%3AArctic+Monkeys%2520&type=track,3nhzPKCm2yqGmgEhdAg19u
Arctic+Monkeys,I+Bet+You+Look+Good+On+The+Dance+Floor,Arctic Monkeys,14,https://api.spotify.com/v1/search?q=%2520track%3AI+Bet+You+Look+Good+On+The+Dance+Floor%2520artist%3AArctic+Monkeys%2520&type=track,4CkgMiMqZ5JzW9iYXSTMTL
Arctic+Monkeys,R+U+Mine+,Arctic Monkeys,13,https://api.spotify.com/v1/search?q=%2520track%3AR+U+Mine+%2520artist%3AArctic+Monkeys%2520&type=track,6c5QZx2v9753q26g1Fvo2F
