artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
Florence%2520And%2520The%2520Machine,Dog%2520Days%2520Are%2520Over,Florence And The Machine,397,Florence And The Machine,https://api.spotify.com/v1/audio-features/1YLJVmuzeM2YSUkCCaTNUB,1YLJVmuzeM2YSUkCCaTNUB,149.954
Free%2520Energy,Free%2520Energy,Free Energy,396,Free Energy,https://api.spotify.com/v1/audio-features/7mb6bXx6FpyZxd37Ldz37q,7mb6bXx6FpyZxd37Ldz37q,92.278
Grizzly%2520Bear,While%2520You%2520Wait%2520For%2520The%2520Others,Grizzly Bear,396,Grizzly Bear,https://api.spotify.com/v1/audio-features/4lyhYM26W4DdIArcfVTUBh,4lyhYM26W4DdIArcfVTUBh,80.502
Sharon%2520Jones%2520And%2520The%2520Dap-Kings,I%2520Learned%2520The%2520Hard%2520Way,Sharon Jones And The Dap-Kings,396,Sharon Jones And The Dap Kings,https://api.spotify.com/v1/audio-features/03PkUC7cfsjFERRSPxK0Eh,03PkUC7cfsjFERRSPxK0Eh,109.196
Glass%2520Animals,Gooey,Glass Animals,395,Glass Animals,https://api.spotify.com/v1/audio-features/1gk3FhAV07q9Jg77UxnVjX,1gk3FhAV07q9Jg77UxnVjX,183.114
Gorillaz,On%2520Melancholy%2520Hill,Gorillaz,395,Gorillaz,https://api.spotify.com/v1/audio-features/0q6LuUqGLUiCPP1cbdwFs3,0q6LuUqGLUiCPP1cbdwFs3,120.423
LCD%2520Soundsystem,I%2520Can%2520Change,LCD Soundsystem,395,LCD Soundsystem,https://api.spotify.com/v1/audio-features/2073QOEC8rBtSyTsRyaWiP,2073QOEC8rBtSyTsRyaWiP,116.981
Temples,Shelter%2520Song,Temples,395,Temples,https://api.spotify.com/v1/audio-features/2nDkHJPY0vpydGiiDABaS6,2nDkHJPY0vpydGiiDABaS6,126.061
The%2520Joy%2520Formidable,Whirring,The Joy Formidable,395,The Joy Formidable,https://api.spotify.com/v1/audio-features/7vqC1Vkr5f9a7CylkjUkPW,7vqC1Vkr5f9a7CylkjUkPW,83.184
Metric,Synthetica,Metric,394,Metric,https://api.spotify.com/v1/audio-features/4SJTFnmmfxotIdw2psMeDp,4SJTFnmmfxotIdw2psMeDp,NA
Mayer%2520Hawthorne,No%2520Strings,Mayer Hawthorne,393,Mayer Hawthorne,https://api.spotify.com/v1/audio-features/0p1BcEcYVO3uk4KDf3gzkY,0p1BcEcYVO3uk4KDf3gzkY,169.784
Janelle%2520Monae,Tightrope%2520feat%2520%2520Big%2520Boi,Janelle Monae,392,Janelle Monae,https://api.spotify.com/v1/audio-features/1ljzHUgt2SU2ADkhfa9eBC,1ljzHUgt2SU2ADkhfa9eBC,167.978
Arctic%2520Monkeys,Why%2520d%2520You%2520Only%2520Call%2520Me%2520When%2520You%2520re%2520High%2520,Arctic Monkeys,390,Arctic Monkeys,https://api.spotify.com/v1/audio-features/1VUcb7Ik5bYw0SzXBH9rLr,1VUcb7Ik5bYw0SzXBH9rLr,91.691
Alt-J,Left%2520Hand%2520Free,Alt-J,389,Alt J,https://api.spotify.com/v1/audio-features/4iEOVEULZRvmzYSZY2ViKN,4iEOVEULZRvmzYSZY2ViKN,101.99
Lucius,Born%2520Again%2520Teen,Lucius,389,Lucius,https://api.spotify.com/v1/audio-features/7H69o9hRNK5Uj6Vu5Jkexv,7H69o9hRNK5Uj6Vu5Jkexv,149.987
Mayer%2520Hawthorne,The%2520Walk,Mayer Hawthorne,389,Mayer Hawthorne,https://api.spotify.com/v1/audio-features/7tBZa65xUKMMan9tIMPqbi,7tBZa65xUKMMan9tIMPqbi,110.02
The%2520Avett%2520Brothers,Live%2520And%2520Die,The Avett Brothers,389,The Avett Brothers,https://api.spotify.com/v1/audio-features/19n9s9SfnLtwPEODqk8KCT,19n9s9SfnLtwPEODqk8KCT,118.015
Dessa,The%2520Chaconne,Dessa,388,Dessa,https://api.spotify.com/v1/audio-features/4Md2ZN0NWnakC5YGhhvn7r,4Md2ZN0NWnakC5YGhhvn7r,121.999
Edward%2520Sharpe%2520And%2520The%2520Magnetic%2520Zeros,Man%2520On%2520Fire,Edward Sharpe And The Magnetic Zeros,388,Edward Sharpe And The Magnetic Zeros,https://api.spotify.com/v1/audio-features/7KWGfnsUU4Ri46TIvjpAPx,7KWGfnsUU4Ri46TIvjpAPx,111.615
Tame%2520Impala,Feels%2520Like%2520We%2520Only%2520Go%2520Backwards,Tame Impala,388,Tame Impala,https://api.spotify.com/v1/audio-features/0LtOwyZoSNZKJWHqjzADpW,0LtOwyZoSNZKJWHqjzADpW,149.508
The%2520National,Don%2520t%2520Swallow%2520The%2520Cap,The National,385,The National,https://api.spotify.com/v1/audio-features/7mUbWcWPImNVcLcNewe2Dy,7mUbWcWPImNVcLcNewe2Dy,116.026
Vampire%2520Weekend,Cousins,Vampire Weekend,385,Vampire Weekend,https://api.spotify.com/v1/audio-features/528bxUV84T4T8HHBFSpcaV,528bxUV84T4T8HHBFSpcaV,148.648
CHVRCHES,Recover,CHVRCHES,384,CHVRCHES,https://api.spotify.com/v1/audio-features/6EwcfJwogWBbVC1ceLiTlj,6EwcfJwogWBbVC1ceLiTlj,170.059
Kendrick%2520Lamar,i,Kendrick Lamar,384,Kendrick Lamar,https://api.spotify.com/v1/audio-features/1EaKU4dMbesXXd3BrLCtYG,1EaKU4dMbesXXd3BrLCtYG,189.891
Polica,Lime%2520Habit,Polica,383,Polica,https://api.spotify.com/v1/audio-features/6AqlZeTJGRHuRKUAbc9kqP,6AqlZeTJGRHuRKUAbc9kqP,128.009
Alabama%2520Shakes,I%2520Ain%2520t%2520The%2520Same,Alabama Shakes,382,Alabama Shakes,https://api.spotify.com/v1/audio-features/436bx0eHJS5DPgIyfsDU31,436bx0eHJS5DPgIyfsDU31,88.311
